x,y,z,j1,j2,j3,j4
-0.123181,-0.389032,0.672495,-162.4305,49.3553,-94.0408,78.3793
0.539425,0.038735,0.567088,85.8927,-23.1813,53.5205,-128.3691
-0.258494,-0.274829,0.123114,-136.7544,-59.6679,22.3124,-17.1641
0.189453,0.239304,1.100695,38.3681,60.1917,-1.3753,25.4548
0.185638,-0.343975,0.900906,151.6449,12.2539,67.2999,90.9467
-0.443194,-0.003227,0.245747,-90.4171,-56.2464,46.9795,-3.7340
0.385363,0.073324,0.774761,79.2270,61.1998,-88.6129,-62.3766
-0.033406,0.234651,1.002544,-8.1025,30.8892,74.5203,-105.8509
-0.033438,0.381087,0.130462,-5.0144,-59.7135,24.4880,7.3222
-0.295953,-0.345380,0.365405,-139.4070,-52.7645,68.2921,149.6501
0.126834,0.490865,0.558761,14.4877,24.5035,-66.6924,-53.0004
0.064325,-0.277245,0.054963,166.9377,-54.5353,-16.9348,-94.9837
0.391656,-0.079550,0.194841,101.4813,-24.7030,-47.0178,-40.6437
-0.524677,0.037625,0.342090,-85.8983,-38.5205,34.4628,98.6256
-0.304337,-0.071283,0.209000,-103.1823,-79.6298,74.3106,-70.8150
-0.212059,-0.316624,0.918299,-146.1879,68.2069,-65.9212,2.7211
-0.167627,-0.117344,0.117010,-124.9931,-39.0870,-67.1357,-117.4293
-0.316171,-0.501154,0.484160,-147.7528,-4.1156,-12.2549,-152.6120
0.376485,-0.419275,0.370827,138.0780,-24.7751,10.6536,68.4786
-0.154136,0.126571,1.136772,-50.6083,60.6210,23.4155,-140.6227
0.001956,0.010861,1.114564,10.2098,65.9527,56.2023,9.0218
-0.219403,-0.111330,0.071935,-116.9042,-46.8804,-42.1252,125.0812
0.020135,-0.049650,1.072827,-22.0744,67.7682,70.7750,-105.9717
0.417333,0.362895,0.340160,48.9912,-20.9837,-5.9436,55.2314
-0.022868,0.362707,1.061517,-3.6075,54.5436,-3.8331,-140.9780
-0.474067,-0.065177,0.780193,-97.8282,-2.6166,62.5384,47.6860
0.244070,0.444852,0.792853,28.7516,2.6018,49.3231,148.8443
